Hotel Name,Rating,Quisine
Savor,4.7,Mediterranean
Marufuku Ramen,4.4,Ramen
Bottega,4.3,Italian
The Snug,4,Cocktail Bars
Starbelly,3.8,American (New)
Memento SF,5,American (New)
little shucker,4.7,Seafood
Fermentation Lab,4.9,Bars
Fable,4.1,American (New)
Kuker,4.8,Bulgarian
Dumpling Story,4.7,Asian Fusion
The Tailor’s Son,4.2,Italian
Otra,4.5,Mexican
Katsuo + Kombu,4.5,Japanese
Pearl,4.4,Italian
Tanglad,4.5,Vietnamese
Lokma,4.6,Mediterranean
Dumpling Home,4.5,Dim Sum
The Laundromat,4.6,Pizza
The Italian Homemade Company,4.3,Italian
Mattina,4,Italian
NONO,4.4,Izakaya
Dumpling Kitchen,4.1,Chinese
Mamahuhu,3.9,Asian Fusion
Beit Rima,4.5,Arabic
Sotto Mare,4.3,Seafood
Lily,4.3,Vietnamese
Bistro Ember,4.8,Mediterranean
Bento Peak,4.6,Japanese
Pasta Panino,4.8,Italian
Beit Rima,4.3,Arabic
Horsefeather,3.9,Cocktail Bars
Wooden Spoon,4.4,Breakfast & Brunch
Kothai Republic,4.7,Korean
Fog Harbor Fish House,4.3,Seafood
opa cafe,4.6,Mediterranean
Ollei,4.6,Korean
JIJIME,4.3,Korean
Cafe de Casa,4.6,Brazilian
Blind Butcher,4,American (New)
Hayz Dog,4.8,Hot Dogs
Nopalito,3.8,Mexican
C.Q. Noodles,4.6,Chinese
Nopa,4.2,American (New)
Best Kept Secret,4.3,Lounges
Santeria,4.4,Mexican
Frances,4.3,American (New)
Pinsa Rossa,4.6,Italian
CreoLa,4.5,Seafood
Noodle in a Haystack,4.8,Ramen
Hinodeya Japantown,4.2,Ramen
Manna,4.1,Korean
California Fish Market Restaurant,4.4,Seafood
Roma Antica,4.5,Pizza
Hu Tong Jian Bing,4.1,Pop-Up Restaurants
Hook Fish,4.3,Seafood
Limoncello,4.8,Sandwiches
Cha Cha Cha,3.9,Caribbean
La Sarrasine,4.6,Creperies
Caliente Bistro Kitchen,4.8,Mexican
Komaaj,4.7,Persian/Iranian
Tastebuds,4.2,Cafes
Ben Thai Cafe,4.4,Thai
Mr. Digby’s,4.3,Cocktail Bars
That’s My Jam,4.8,Salad
MuuKaTa6395 Thai Charcoal BBQ,4.7,Thai
Mr. Hen Noodles House,4.1,Chicken Shop
Jamie’s Place,4.5,Breakfast & Brunch
Woodhouse Fish,4.1,Seafood
NOVY Restaurant,4.1,Mediterranean
Saucy Asian,4.3,Korean
Sunset29 BBQ,5,Barbeque
Copra,4.1,Indian
Lavash,4.2,Persian/Iranian
Dumpling House,4.3,Dim Sum
Poesia Café,4.6,Coffee & Tea
Daeho Kalbijjim & Beef Soup,4.5,Korean
Ofena,4.6,Italian
Chaska Restaurant,4.7,Indian
Manitas Cafe,4.6,Salvadoran
Beretta Divisadero,4.2,Italian
Flores San Francisco,4.1,Mexican
Georgian Cheese Boat,4.6,Georgian
Kitchen Story,4.1,Breakfast & Brunch
Mamahuhu,4,Chinese
KAIYŌ Rooftop,3.8,Peruvian
Cafe Okawari,4.5,Japanese
Teakwood,3.9,Burmese
Bonita Taqueria Y Rotisserie,4.4,Mexican
Serendipity,4.7,Japanese
